MATERIALI,Acc Aci Aes All Aqu Ari Asa Asf Ban Bca Bro Bva Cal Car Cbi Cem Cer Cin Cle Clu Col Com Cor Cpr Epd Erb Fbi Fel Fer Fge Fri Gas Geg Gen Geo Ges Ghi Gme Gra Gre Int Iso Ite Lau Leg Lev Lin Liq Lmi Lro Lzi Mac Mad Mar Mco Met Mic Mim Mis Mle Mlt Moq Mri Mur Oro Ott Par Pce Pep Pes Pia Pie Pit Pla Ple Plp Pol Por Pri Pvc Pvi Ram Res Sab Sme Sop Tap Ter Tes Tra Vce Vet Vop Vte Xla
DISCIPLINA,AC AM AR CA EC GN GO ID II IE IM IS PA PI RL SC SE SS ST TM TR UR VI FA
Sezione,Schema,Campi Obbligatori,Campi Massimi,Campi,Valori Ammissibili,BuiltInCategory
2.2.2.1 # Muri~ Pavimenti~ Tetti~ Controsoffitti,Tipo,4,5,Disciplina-Classe-Sottoclasse-Spessore Totale-Caratteristica,DISCIPLINA@MUR PAV TET CON-BRS CNT DIV POR RIV TAM~GAL GET MAI MAN PRE~FAL LUC PIA STR VER~CAC CCG CIG CLA CPA CSO@nnnn[mm]@CamelCase (max 35 car.),OST_Walls/OST_Floors/OST_Roofs/OST_Ceilings
2.2.2.2 # Montanti della facciata continua~ Sistemi di Facciata Continua~ Tetti Vetrati~ Ringhiere,Tipo,5,6,Disciplina-Classe-Sottoclasse-NomeMateriale-Dimensioni-Caratteristica,DISCIPLINA@MON RIN SFC TEV-ANL ANQ ANT ANV CIR PER RET~RAL RCA RFB RLE RVE~CEL MON RAG STE~TVF TVP@MATERIALI@nnnn~nnnnxnnnn@CamelCase (max 25 car.),OST_CurtainWallMullions/OST_Railings/OST_CurtainWallPanels/OST_SlopedGlazing
2.2.2.3 # Scale~ Pianerottoli,Tipo,5,6,Disciplina-Classe-Sottoclasse-NomeMateriale-Dimensioni-Caratteristica,DISCIPLINA@PIA SCA-ANL ANQ ANT ANV ASS CIR PER RET~ANL ANQ ANT ANV ASS CIR PER RET@MATERIALI@nnnn@CamelCase (max 25 car.),OST_Stairs/OST_StairsLandings
2.2.3.1 # Porte~ Finestre,Famiglia,5,6,Disciplina-Classe-Sottoclasse-NomeMateriale-NumeroAnte-Caratteristica,DISCIPLINA@POR FIN-BAT BIL CER OSC PIE PRT ROT SCO TAS~BIL CER FIS OSC PER PIE PRT RIB ROT SCO TAS@MATERIALI@nnA@CamelCase (max 25 car.),OST_Doors/OST_Windows
2.2.3.2 # Pannelli di facciata continua~ Pilastri~ Pilastri strutturali~ Travi,Famiglia,4,5,Disciplina-Classe-Sottoclasse-NomeMateriale-Caratteristica,DISCIPLINA@COL PAF TRA-COL PIL PNE~PMU PVU SEM TEL~CLP CLS CTR ELL HEA HEB HEM INP IPE RET TEE TUB UNI UNP UPN@MATERIALI@CamelCase (max 25 car.),OST_StructuralColumns/OST_CurtainWallPanels/OST_StructuralFraming
2.2.3.3 # Arredo fisso~ Arredo~ Modello generico~ Massa,Famiglia,3,4,Disciplina-Classe-Sottoclasse-Caratteristica,DISCIPLINA@ARR ARR GEN GEN-BCK GAT NAS SED~BCK GAT NAS SED~MAS MGE~MAS MGE@CamelCase (max 25 car.),OST_Furniture/OST_Casework/OST_GenericModel/OST_Mass
2.2.4.1 # Sistemi di condotti~ Sistemi di tubazioni,Tipo,4,5,Disciplina-Classe-Sottoclasse-Sub disciplina-Caratteristica,DISCIPLINA@CND TUB-HVC~ANT ARF ASN GEN IDR-ACS ADM ADR AFS ALT ARE ARF ARR AWC CAM CAR CLM CLR EAV MAV MBV NSP PRM PRR RAM RAR RIC RRM RRR RTM RTR SAM SAN SCD SPR~ACS ADM ADR AFS ALT ARE ARF ARR AWC CAM CAR CLM CLR EAV MAV MBV NSP PRM PRR RAM RAR RIC RRM RRR RTM RTR SAM SAN SCD SPR@CamelCase (max 25 car.),OST_DuctSystems/OST_PipingSystems
2.2.4.2 # Condotti~ Tubi protettivi~ Isolamenti condotti~ Isolamenti tubazioni,Tipo,4,5,Disciplina-Classe-Sottoclasse-NomeMateriale-Caratteristica,DISCIPLINA@CND ISC IST TRS-CIR OVA RET~GMT TRS~FLE RIG~FLE RIG@MATERIALI@CamelCase (max 25 car.),OST_DuctCurves/OST_Conduit/OST_DuctInsulations/OST_PipeInsulations
2.2.4.3 # Tubazioni~ Passerelle,Tipo,3,4,Disciplina-Classe-NomeMateriale-Caratteristica,DISCIPLINA@TUB PAS@MATERIALI@CamelCase (max 25 car.),OST_PipeCurves/OST_CableTray
2.2.5.1 # Raccordi,Famiglia,4,5,Disciplina-Classe-Sottoclasse-NomeMateriale-Caratteristica,DISCIPLINA@COL PAF RTP TRA-CIR OVA RET~FLE RIG TEE TRS UNI~GOM TRA@MATERIALI@CamelCase (max 25 car.),OST_DuctFittings/OST_PipeFittings/OST_CableTrayFittings
2.2.5.2 # Dispositivi,Famiglia,4,5,Disciplina-Classe-Sottoclasse-Sub disciplina-Caratteristica,DISCIPLINA@DIS-ACC ACT AEL AID AIL AME ATE BOC DAN DCH DCO DDA DIL DSI EST SPR-ARE ARM ARR DPR ESA EVA FMT GEN ILL RIV SAN TDA VAL VID@CamelCase (max 25 car.),OST_MechanicalEquipment
2.4 # Materiali associati ai sistemi MEP,Materiale,2,3,Autore-Subdisciplina-Caratteristica,XXX@ACS ADM ADR AFS ALT ARE ARF ARR AWC CAM CAR CLM CLR EAV MAV MBV NSP PRM PRR RAM RAR RIC RRM RRR RTM RTR SAM SAN SCD SPR@CamelCase (max 25 car.),-
4.2 # Parametri,Parametri,3,4,Codice Pset-Classe Parametro-Tipo-Descrizione,GEO INF DOC IDE COO COM GES DIM SPE@ANE ASC IME IMM MEP STR ANT FIN GEN ILL LOC MAT MUR POR PRO RIN SCA SIS PBR@T I@CamelCase (max 25 car.),-
