Estintori,OST_Sprinkler,IfcFireSuppressionTerminal,FIREHYDRANT,Naspi
Estintori,OST_Sprinkler,IfcFireSuppressionTerminal,SPRINKLER,Sprinkler
Estintori,OST_Sprinkler,IfcFireSuppressionTerminal,USERDEFINED,Estintori
Tubazioni,OST_PipeCurves,IfcPipeSegment,RIGIDSEGMENT,Tubazioni
Tubazioni flessibili,OST_FlexPipes,IfcPipeSegment,FLEXIBLESEGMENT,Tubazioni flessibili
Raccordi di Tubazione,OST_PipeFitting,IfcPipeFitting,BEND,Gomito
Raccordi di Tubazione,OST_PipeFitting,IfcPipeFitting,JUNCTION,Tee
Raccordi di Tubazione,OST_PipeFitting,IfcPipeFitting,TRANSITION,Transizione
Raccordi di Tubazione,OST_PipeFitting,IfcPipeFitting,USERDEFINED,Calotta
Raccordi di Tubazione,OST_PipeFitting,IfcPipeFitting,CONNECTOR,Unione
Accessori per Tubazioni,OST_PipeAccessory,IfcFireSuppressionTerminal,USERDEFINED,Giunto Sismico
Apparecchi idraulici,OST_PlumbingFixture,IfcSanitaryTerminal,SINK,Lavabo
Apparecchi idraulici,OST_PlumbingFixture,IfcSanitaryTerminal,WCSEAT,WC
Tubazioni,OST_PipeCurves,IfcPipeSegment,RIGIDSEGMENT,Tubazione
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,BEND,Gomito
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,JUNCTION,Tee
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,TRANSITION,Transizione
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,USERDEFINED,Calotta
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,JUNCTION,Unione
Accessori per tubazione,OST_PipeAccessory,IfcValve,REGULATING,Valvole
Apparecchi Elettrici,OST_ElectricalEquipment,IfcOutlet,POWEROUTLET,Spina di derivazione
Apparecchi per Illuminazione,OST_LightingFixtures,IfcLightFixture,POINTSOURCE,Faretto
Apparecchi per Illuminazione,OST_LightingFixtures,IfcLightFixture,DIRECTIONSOURCE,Proiettore a parete
Dispositivi Allarme Antincendio,OST_FireAlarmDevices,IfcAlarm,BELL,Diffusore sonoro
Dispositivi Allarme Antincendio,OST_FireAlarmDevices,IfcAlarm,LIGHT,Allarme
Dispositivi Allarme Antincendio,OST_FireAlarmDevices,IfcAlarm,MANUALPULLBOX,Pulsante allarme incendio
Dispositivi Allarme Antincendio,OST_FireAlarmDevices,IfcSensor,SMOKESENSOR,Rivelatore ottico di fumo
Dispositivo Dati,OST_DataDevices,IfcCommunicationsAppliance,ANTENNA,Antenna
Dispositivo Dati,OST_DataDevices,IfcCommunicationsAppliance,GATEWAY,Access Point
Dispositivo Dati,OST_DataDevices,IfcCommunicationsAppliance,REPEATER,Ripetitore
Dispositivo Dati,OST_DataDevices,IfcCommunicationsAppliance,ROUTER,Router
Dispositivi di comunicazione,OST_CommunicationDevices,IfcAudioVisualAppliance,DISPLAY,TV Monitor
Dispositivi di sicurezza,OST_SecurityDevices,IfcAlarm,SIREN,Allarme Porta
Dispositivi di sicurezza,OST_SecurityDevices,IfcAudioVisualAppliance,CAMERA,Telecamera Dome
Passerelle,OST_CableTray,IfcCableCarrierSegment,CABLETRAYSEGMENT,Passerelle 
Passerelle,OST_CableTray,IfcCableSegment,BUSBARSEGMENT ,Blindosbarre
Raccordi passerella,OST_CableTrayFitting,IfcCableCarrierFitting,BEND,Gomito
Raccordi passerella,OST_CableTrayFitting,IfcCableCarrierFitting,JUNCTION,Tee
Raccordi passerella,OST_CableTrayFitting,IfcCableCarrierFitting,TRANSITION,Transizione
Raccordi passerella,OST_CableTrayFitting,IfcCableCarrierFitting,USERDEFINED,Unione
Tubo protettivo,OST_Conduit,IfcCableSegment,CABLESEGMENT,Tubo Protettivo
Raccordi tubo protettivo,OST_ConduitFitting,IfcCableFitting,JUNCTION,Gomito
Accessori per condotti,OST_DuctAccessory,IfcDamper,FIREDAMPER,Serranda tagliafuoco
Accessori per condotti,OST_DuctAccessory,IfcDamper,CONTROLDAMPER,Regolatore di portata
Condotti,OST_DuctCurves,IfcDuctSegment,RIGIDSEGMENT,Condotti
Condotti flessibili,OST_FlexDuctCurves,IfcDuctSegment,FLEXIBLESEGMENT,Condotti flessibili
Raccordi di condotto,OST_DuctFitting,IfcDuctFitting,BEND,Gomito
Raccordi di condotto,OST_DuctFitting,IfcDuctFitting,JUNCTION,Tee
Raccordi di condotto,OST_DuctFitting,IfcDuctFitting,TRANSITION,Transizione
Raccordi di condotto,OST_DuctFitting,IfcDuctFitting,USERDEFINED,Calotta
Raccordi di condotto,OST_DuctFitting,IfcDuctFitting,JUNCTION,Unione
Isolamento condotto,OST_DuctInsulations,IfcCovering,INSULATION,Isolante condotto
Attrezzatura meccanica,OST_MechanicalEquipment,IfcSpaceHeater,RADIATOR,Radiatore
Attrezzatura meccanica,OST_MechanicalEquipment,IfcDuctSilencer,ROUND,Silenziatore
Attrezzatura meccanica,OST_MechanicalEquipment,IfcDuctSilencer,RECTANGULAR,Silenziatore
Attrezzatura meccanica,OST_MechanicalEquipment,IfcFan,CENTRIFUGALRADIAL,Cassonetto di estrazione
