Nome Elemento,Tipo IFC,GUID,ElementId
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,2YZrMS$IP01Bt12Yn3CJqD,716430
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,2YZrMS$IP01Bt12Yn3CJqC,716431
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,2YZrMS$IP01Bt12Yn3CJqJ,716432
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,2YZrMS$IP01Bt12Yn3CJqI,716433
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQ4,716620
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQ5,716621
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQ6,716622
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQ7,716623
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQG,716632
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQH,716633
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQI,716634
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQJ,716635
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQi,716644
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQj,716645
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQk,716646
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQl,716647
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQu,716656
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQv,716657
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQw,716658
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQx,716659
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQq,716668
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQr,716669
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQs,716670
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tQt,716671
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tPE,716678
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tPF,716679
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tP0,716680
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tP1,716681
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tPc,716718
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tPd,716719
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tPu,716720
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1tPv,716721
